Risk,Risk Name,Category,Mean Probability,Beta alpha,Beta beta,Impact min $m,Impact mode $m,Impact max $m,Expected Impact $m,Expected Loss $m,Loss Variance,P90 Loss $m,P95 Loss $m
Risk 1,Competitor AI Advantage,Strategic,0.34,34,66,70,160,360,196.66666666666666,66.86666666666667,521.1680435426919,99.06237785423315,108.82681726070103
Risk 2,AI Warehouse Strategy Failure,Strategic and operational,0.3,30,70,80,220,500,266.6666666666667,80.0,850.3781897926411,120.61520882604935,133.31635724947563
Risk 3,Cybersecurity & Data Breach,Information security,0.22,22,78,120,320,950,463.3333333333333,101.93333333333332,1958.6125116864414,164.59279175952912,185.37767699467065
Risk 4,AI Forecasting Failure,Technology and operational,0.28,28,72,40,120,300,153.33333333333334,42.93333333333334,284.12814272309794,66.47692741043458,74.17355033922948
Risk 5,System Integration Failure,Technology and operational,0.26,26,74,50,150,350,183.33333333333334,47.66666666666667,333.43193500402776,73.04542369928781,81.55698213750681
Risk 6,Cloud Service Outage,Technology and continuity,0.18,18,82,60,180,500,246.66666666666666,44.4,382.45333465731477,71.60455064761231,81.15689267102236
Risk 7,Workforce Adoption Failure,People and change,0.32,32,68,30,90,220,113.33333333333333,36.266666666666666,194.05220026566676,55.82301172222569,61.86302698806252
Risk 8,Cost Overrun & Delayed ROI,Financial,0.35,35,65,80,240,650,323.3333333333333,113.16666666666666,2020.1453843266875,176.32358231537046,195.41079316048155
Risk 9,Regulatory & Privacy Non Compliance,Compliance,0.24,24,76,100,300,900,433.3333333333333,103.99999999999999,2087.8772393239155,169.11278546663436,189.64291117961116
Risk 10,AI Governance & Ethics Failure,Governance and compliance,0.21,21,79,60,180,600,280.0,58.8,741.6927277211307,97.2376896272888,110.149184086952
